"year","epiweek","mean_temperature","relative_humidity","precipitation","rainy_days_5","rainy_days_10","rainy_days_30","indexP"
2022,27,17.9910624186198,78.4754577644479,7.37280445984823,5,10,30,0.315364777836408
2022,28,13.5629011608306,81.8664089199716,30.1550390899289,5,10,30,0.00401145386223177
2022,29,18.2604774111793,86.3346160998478,9.40656637515828,5,10,30,0.503096917183788
2022,30,14.9145955403646,83.5002272479223,4.34347103897418,5,10,30,0.0327392787369469
2022,31,14.6012355986096,85.1458307071747,9.10217596325917,5,10,30,0.0236277580120116
2022,32,15.3694498697917,82.664914533798,17.0992981864065,5,10,30,0.0517154797953804
2022,33,12.1546609787714,77.5154564805258,21.3118041922418,5,10,30,0
2022,35,14.1621959141323,77.7075961275882,4.33156314417597,3,8,28,0.0102660491161338
2022,36,16.4770751953125,76.7285788838484,8.47898595136579,2,5,25,0.109417569256559
2022,37,16.2182040259952,78.6564500387727,6.75864577755192,0,0,18,0.095883136711647
2022,38,15.2121045067197,77.6300062967444,18.5986479428758,5,7,18,0.0374507205272266
2022,39,15.933237420945,77.2374905349443,2.99695279247677,5,10,18,0.0723133878935492
2022,40,16.1946876889184,73.221937427034,29.4654609561557,5,10,21,0.0780738799535774
2022,41,17.9535508655367,79.9010986017872,13.178808239824,5,10,28,0.32612961491886
2022,42,18.8771878923689,81.2927551870968,5.27233645182908,5,10,30,0.580903697137503
2022,43,21.2465650285994,71.9309202278607,15.3858496624271,5,10,30,1.24708994588858
2022,44,16.003060186477,68.3510389520497,2.10549209247546,1,5,25,0.0569507434025125
2022,45,20.268948945545,78.6635884225842,8.4194507884258,5,8,25,1.06153837058322
2022,46,22.911385745094,58.8751888423582,0.252895305743313,5,10,25,1.37364401106302
2022,47,21.4607155936105,74.821788245927,16.8560944311089,5,10,25,1.57760995632047
2022,48,24.3234282720657,79.0365303578891,10.1396913038722,5,10,29,7.20517604618517
2022,49,25.1315878731864,70.0381180802411,1.25233484620679,5,10,30,6.52861100898579
2022,50,21.8849524361747,62.3036718875557,7.23957342235811,5,10,30,1.04841899568501
2022,51,23.5821305047898,65.4326741777617,1.50660761126649,5,10,30,2.59060622044772
2022,52,23.2411961873373,65.1921971854974,30.2670708974802,NA,NA,NA,2.20133925172062
2023,1,23.9545281546457,65.4199260511388,4.84834051750719,NA,NA,NA,3.04947202768855
2023,2,25.2343351091658,67.3127116752731,6.68972641525064,5,NA,NA,5.8966687457798
2023,3,25.5616103399368,74.3655103968755,4.17874372245327,5,10,NA,9.85067339563998
2023,4,27.8698716663179,64.3686224471908,2.55852132193723,5,10,NA,12.4890367235093
2023,5,25.686175827753,70.3719642935162,10.2773557573528,5,10,NA,8.43395346371649
2023,6,25.7859268915086,64.97331672721,1.56575207857657,5,10,30,6.55054785963037
